"meiosis" "parent" "offspring" "yapp_CO_count"
"8800102_8857285" "8800102" "8857285" 20
"8800104_8800529" "8800104" "8800529" 17
"8800104_8800537" "8800104" "8800537" 17
"8800104_8866773" "8800104" "8866773" 27
"8800104_8887262" "8800104" "8887262" 29
"8800104_8934532" "8800104" "8934532" 19
"8800104_8L30572" "8800104" "8L30572" 17
"8800175_8934805" "8800175" "8934805" 15
"8800175_8943168" "8800175" "8943168" 18
"8800175_8943736" "8800175" "8943736" 18
"8800175_8943837" "8800175" "8943837" 14
"8800177_8887408" "8800177" "8887408" 27
"8800179_8887324" "8800179" "8887324" 15
"8800179_8943836" "8800179" "8943836" 20
"8800181_8887408" "8800181" "8887408" 17
"8800196_8887324" "8800196" "8887324" 20
"8800196_8939392" "8800196" "8939392" 11
"8800196_8943836" "8800196" "8943836" 11
"8800314_8857205" "8800314" "8857205" 20
"8800357_8887291" "8800357" "8887291" 14
"8800357_8887315" "8800357" "8887315" 7
"8800357_8934375" "8800357" "8934375" 14
"8800357_8943735" "8800357" "8943735" 16
"8800371_8747940" "8800371" "8747940" 20
"8800371_8747941" "8800371" "8747941" 17
"8800371_8866716" "8800371" "8866716" 13
"8800371_8934459" "8800371" "8934459" 13
"8800371_8934497" "8800371" "8934497" 15
"8800371_8934498" "8800371" "8934498" 10
"8800371_8934854" "8800371" "8934854" 13
"8800371_8934855" "8800371" "8934855" 11
"8800372_8934459" "8800372" "8934459" 15
"8800376_8887472" "8800376" "8887472" 11
"8800376_8887475" "8800376" "8887475" 9
"8800376_8887477" "8800376" "8887477" 15
"8800376_8934095" "8800376" "8934095" 8
"8800376_8934458" "8800376" "8934458" 14
"8800376_8934501" "8800376" "8934501" 16
"8800376_8939037" "8800376" "8939037" 17
"8800376_8939088" "8800376" "8939088" 12
"8800376_8939150" "8800376" "8939150" 12
"8800376_8939151" "8800376" "8939151" 15
"8800376_8939431" "8800376" "8939431" 11
"8800390_8L52967" "8800390" "8L52967" 8
"8800395_8747901" "8800395" "8747901" 10
"8800395_8857249" "8800395" "8857249" 13
"8800416_8747901" "8800416" "8747901" 20
"8800416_8866730" "8800416" "8866730" 14
"8800416_8943141" "8800416" "8943141" 19
"8800416_8981029" "8800416" "8981029" 21
"8800417_8866704" "8800417" "8866704" 24
"8800417_8887342" "8800417" "8887342" 28
"8800417_8934547" "8800417" "8934547" 20
"8800417_8939506" "8800417" "8939506" 28
"8800417_8939605" "8800417" "8939605" 26
"8800427_8800397" "8800427" "8800397" 11
"8800427_8800593" "8800427" "8800593" 19
"8800434_8857223" "8800434" "8857223" 16
"8800436_8118429" "8800436" "8118429" 13
"8800436_8309150" "8800436" "8309150" 19
"8800436_8934329" "8800436" "8934329" 14
"8800436_8939040" "8800436" "8939040" 18
"8800436_8939704" "8800436" "8939704" 20
"8800436_8981266" "8800436" "8981266" 21
"8800436_8L52920" "8800436" "8L52920" 16
"8800437_8747905" "8800437" "8747905" 18
"8800437_8747906" "8800437" "8747906" 8
"8800467_8747872" "8800467" "8747872" 19
"8800467_8887450" "8800467" "8887450" 15
"8800468_8887283" "8800468" "8887283" 24
"8800468_8887439" "8800468" "8887439" 20
"8800468_8887453" "8800468" "8887453" 20
"8800468_8934313" "8800468" "8934313" 24
"8800469_8939086" "8800469" "8939086" 16
"8800469_8981287" "8800469" "8981287" 14
"8800477_8887220" "8800477" "8887220" 13
"8800478_8857730" "8800478" "8857730" 13
"8800490_8887357" "8800490" "8887357" 27
"8800490_8887406" "8800490" "8887406" 20
"8800495_8887356" "8800495" "8887356" 13
"8800495_8887358" "8800495" "8887358" 15
"8800495_8L30364" "8800495" "8L30364" 16
"8800510_8887445" "8800510" "8887445" 19
"8800510_8934311" "8800510" "8934311" 13
"8800515_8800550" "8800515" "8800550" 19
"8800519_8866790" "8800519" "8866790" 18
"8800519_8887440" "8800519" "8887440" 26
"8800519_8934301" "8800519" "8934301" 15
"8800521_8887291" "8800521" "8887291" 21
"8800521_8887315" "8800521" "8887315" 20
"8800521_8887445" "8800521" "8887445" 16
"8800521_8934375" "8800521" "8934375" 20
"8800521_8943735" "8800521" "8943735" 16
"8800529_8887360" "8800529" "8887360" 21
"8800529_8887399" "8800529" "8887399" 10
"8800538_8800574" "8800538" "8800574" 19
"8800547_8857740" "8800547" "8857740" 16
"8800547_8866786" "8800547" "8866786" 15
"8800547_8866789" "8800547" "8866789" 19
"8800547_8L52950" "8800547" "8L52950" 24
"8800550_8887368" "8800550" "8887368" 21
"8800550_8887370" "8800550" "8887370" 15
